"Year","Player","Pos","HT","WT","Team","Selection Type","NBA Draft Status","Nationality"
1959,"Richie Guerin","SG","6-4","195","New York Knicks","Eastern All-Star Coaches Selection","1954 Rnd 2 Pick 8","United States"
1959,"Red Kerr","FC","6-9","230","Syracuse Nationals","Eastern All-Star Coaches Selection","1954 Rnd 1 Pick 6","United States"
1959,"Bill Russell","C","6-10","215","Boston Celtics","Eastern All-Star Fan Vote Selection","1956 Rnd 1 Pick 2","United States"
1959,"Woody Sauldsberry","FC","6-7","220","San Francisco Warriors","Eastern All-Star Coaches Selection","1957 Rnd 8 Pick 5","United States"
1959,"Dolph Schayes","FC","6-7","195","Syracuse Nationals","Eastern All-Star Coaches Selection","1948 Rnd 1 Pick 4","United States"
1959,"Kenny Sears","F","6-9","198","New York Knicks","Eastern All-Star Fan Vote Selection","1953 Rnd 15 Pick 2","United States"
1959,"Bill Sharman","G","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 Rnd 2 Pick 5","United States"
1959,"Elgin Baylor","F","6-5","225","Minneapolis Lakers","Western All-Star Fan Vote Selection","1956 Rnd 14 Pick 2","United States"
1959,"Larry Foust","FC","6-9","215","Minneapolis Lakers","Western All-Star Coaches Selection","1950 NBA Draft, Undrafted","United States"
1959,"Dick Garmaker","GF","6-3","200","Minneapolis Lakers","Western All-Star Coaches Selection","1954 Rnd 9 Pick 8","United States"
1959,"Cliff Hagan","GF","6-4","210","St. Louis Hawks","Western All-Star Fan Vote Selection","1953 Rnd 3 Pick 6","United States"
1959,"Slater Martin","PG","5-10","170","St. Louis Hawks","Western All-Star Fan Vote Selection","1949 Rnd 3 Pick 11","United States"
1959,"Dick McGuire","G","6-0","180","Detroit Pistons","Western All-Star Coaches Selection","1949 Rnd 1 Pick 8","United States"
1959,"Bob Pettit","FC","6-9","205","St. Louis Hawks","Western All-Star Fan Vote Selection","1954 Rnd 1 Pick 2","United States"
1959,"Gene Shue","G","6-2","170","Detroit Pistons","Western All-Star Fan Vote Selection","1954 Rnd 1 Pick 3","United States"
1959,"Jack Twyman","F","6-6","210","Cincinnati Royals","Western All-Star Coaches Selection","1955 Rnd 2 Pick 2","United States"
1959,"George Yardley","GF","6-5","190","Detroit Pistons","Western All-Star Coaches Selection","1950 Rnd 1 Pick 8","United States"
1960,"Paul Arizin","GF","6-4","190","San Francisco Warriors","Eastern All-Star Fan Vote Selection","1950 Rnd 1 Pick 3","United States"
1960,"Wilt Chamberlain","C","7-1","265","San Francisco Warriors","Eastern All-Star Fan Vote Selection","1959 NBA Draft, Undrafted","United States"
1960,"Larry Costello","PG","6-1","186","Syracuse Nationals","Eastern All-Star Coaches Selection","1954 Rnd 2 Pick 3","United States"
1960,"Bob Cousy","PG","6-1","175","Boston Celtics","Eastern All-Star Fan Vote Selection","1950 NBA Draft, Undrafted","United States"
1960,"Tom Gola","GF","6-6","205","San Francisco Warriors","Eastern All-Star Coaches Selection","1955 NBA Draft, Undrafted","United States"
1960,"Richie Guerin","SG","6-4","195","New York Knicks","Eastern All-Star Fan Vote Selection","1954 Rnd 2 Pick 8","United States"
1960,"Willie Naulls","F","6-6","225","New York Knicks","Eastern All-Star Coaches Selection","1956 Rnd 2 Pick 2","United States"
